Slot Id,Time slot,Imbalance,Imbalance price,Direction,DA price,Wind,Biomass,Fossil Gas,Fossil Hard Coal,Fossil Oil,Solar,Waste
1737,19.06.2025 02:00 - 19.06.2025 02:15,39,0.35,1,63.47,1084,7.54,99.65,112.58,22.17,8.92,117.84
1738,19.06.2025 02:15 - 19.06.2025 02:30,39,6.6,1,63.47,1089,7.54,99.65,112.58,22.17,8.92,117.84
1739,19.06.2025 02:30 - 19.06.2025 02:45,39,63.47,1,63.47,1122,7.54,99.65,112.58,22.17,8.92,117.84
1740,19.06.2025 02:45 - 19.06.2025 03:00,39,63.47,1,63.47,1140,7.54,99.65,112.58,22.17,8.92,117.84
1741,19.06.2025 03:00 - 19.06.2025 03:15,26,-4.97,1,19.15,1158,8.13,111.18,117.97,23.23,9.79,118.46
1742,19.06.2025 03:15 - 19.06.2025 03:30,26,-5,1,19.15,1167,8.13,111.18,117.97,23.23,9.79,118.46
1743,19.06.2025 03:30 - 19.06.2025 03:45,26,-7.25,1,19.15,1176,8.13,111.18,117.97,23.23,9.79,118.46
1744,19.06.2025 03:45 - 19.06.2025 04:00,26,-2.86,1,19.15,1170,8.13,111.18,117.97,23.23,9.79,118.46
1745,19.06.2025 04:00 - 19.06.2025 04:15,34,4.46,1,4.46,1159,7.79,111.19,116.82,22.99,12.84,118.08
1746,19.06.2025 04:15 - 19.06.2025 04:30,34,4.46,1,4.46,1150,7.79,111.19,116.82,22.99,12.84,118.08
1747,19.06.2025 04:30 - 19.06.2025 04:45,34,10,1,4.46,1158,7.79,111.19,116.82,22.99,12.84,118.08
1748,19.06.2025 04:45 - 19.06.2025 05:00,34,4.46,1,4.46,1182,7.79,111.19,116.82,22.99,12.84,118.08
1749,19.06.2025 05:00 - 19.06.2025 05:15,10,25.05,1,25.05,1219,7.47,100.15,110.53,21.78,109.55,116.85
1750,19.06.2025 05:15 - 19.06.2025 05:30,10,-3.17,1,25.05,1228,7.47,100.15,110.53,21.78,109.55,116.85
1751,19.06.2025 05:30 - 19.06.2025 05:45,10,-1,1,25.05,1224,7.47,100.15,110.53,21.78,109.55,116.85
1752,19.06.2025 05:45 - 19.06.2025 06:00,10,25.05,1,25.05,1254,7.47,100.15,110.53,21.78,109.55,116.85
1753,19.06.2025 06:00 - 19.06.2025 06:15,88,-8,1,59.27,1268,7.25,101.06,108.59,21.39,383.1,115.44
1754,19.06.2025 06:15 - 19.06.2025 06:30,88,0.01,1,59.27,1264,7.25,101.06,108.59,21.39,383.1,115.44
1755,19.06.2025 06:30 - 19.06.2025 06:45,88,59.71,1,59.27,1301,7.25,101.06,108.59,21.39,383.1,115.44
1756,19.06.2025 06:45 - 19.06.2025 07:00,88,61.61,1,59.27,1291,7.25,101.06,108.59,21.39,383.1,115.44
1757,19.06.2025 07:00 - 19.06.2025 07:15,0,87.18,-1,58.38,1330,7.37,102.82,109.32,21.53,895.46,109.45
1758,19.06.2025 07:15 - 19.06.2025 07:30,0,58.38,-1,58.38,1360,7.37,102.82,109.32,21.53,895.46,109.45
1759,19.06.2025 07:30 - 19.06.2025 07:45,0,-3.35,-1,58.38,1381,7.37,102.82,109.32,21.53,895.46,109.45
1760,19.06.2025 07:45 - 19.06.2025 08:00,0,58.38,-1,58.38,1346,7.37,102.82,109.32,21.53,895.46,109.45
1761,19.06.2025 08:00 - 19.06.2025 08:15,59,-78.83,1,40.29,1373,7.83,111.65,117.64,23.85,1520.76,108.59
1762,19.06.2025 08:15 - 19.06.2025 08:30,59,-99.01,1,40.29,1360,7.83,111.65,117.64,23.85,1520.76,108.59
1763,19.06.2025 08:30 - 19.06.2025 08:45,59,-60.11,1,40.29,1352,7.83,111.65,117.64,23.85,1520.76,108.59
1764,19.06.2025 08:45 - 19.06.2025 09:00,59,-22.17,1,40.29,1347,7.83,111.65,117.64,23.85,1520.76,108.59
1765,19.06.2025 09:00 - 19.06.2025 09:15,0,2.72,-1,2.72,1344,6.95,92.73,98.55,19.96,1698.23,106.16
1766,19.06.2025 09:15 - 19.06.2025 09:30,0,-27.4,1,2.72,1334,6.95,92.73,98.55,19.96,1698.23,106.16
1767,19.06.2025 09:30 - 19.06.2025 09:45,0,2.72,-1,2.72,1319,6.95,92.73,98.55,19.96,1698.23,106.16
1768,19.06.2025 09:45 - 19.06.2025 10:00,0,-2.55,1,2.72,1297,6.95,92.73,98.55,19.96,1698.23,106.16
1769,19.06.2025 10:00 - 19.06.2025 10:15,0,494.09,-1,-0.04,1247,6.96,92.98,97.68,19.68,1758.97,111.22
1770,19.06.2025 10:15 - 19.06.2025 10:30,0,310.6,1,-0.04,1225,6.96,92.98,97.68,19.68,1758.97,111.22
1771,19.06.2025 10:30 - 19.06.2025 10:45,0,18,-1,-0.04,1195,6.96,92.98,97.68,19.68,1758.97,111.22
1772,19.06.2025 10:45 - 19.06.2025 11:00,0,4,1,-0.04,1168,6.96,92.98,97.68,19.68,1758.97,111.22
1773,19.06.2025 11:00 - 19.06.2025 11:15,0,726.17,-1,1.8,1174,6.83,91.97,96.89,21.18,1822.08,114.38
1774,19.06.2025 11:15 - 19.06.2025 11:30,0,411.72,1,1.8,1148,6.83,91.97,96.89,21.18,1822.08,114.38
1775,19.06.2025 11:30 - 19.06.2025 11:45,0,1.8,-1,1.8,1132,6.83,91.97,96.89,21.18,1822.08,114.38
1776,19.06.2025 11:45 - 19.06.2025 12:00,0,-50.46,1,1.8,1127,6.83,91.97,96.89,21.18,1822.08,114.38
1777,19.06.2025 12:00 - 19.06.2025 12:15,0,1.93,-1,1.93,1125,5.67,102.24,99.01,19.48,1702.24,113.51
1778,19.06.2025 12:15 - 19.06.2025 12:30,0,-4,1,1.93,1115,5.67,102.24,99.01,19.48,1702.24,113.51
1779,19.06.2025 12:30 - 19.06.2025 12:45,0,-16.97,-1,1.93,1102,5.67,102.24,99.01,19.48,1702.24,113.51
1780,19.06.2025 12:45 - 19.06.2025 13:00,0,-17.42,1,1.93,1090,5.67,102.24,99.01,19.48,1702.24,113.51
1781,19.06.2025 13:00 - 19.06.2025 13:15,0,2.95,-1,2.95,1080,4.27,103.72,103.42,20.3,1887.07,112.64
1782,19.06.2025 13:15 - 19.06.2025 13:30,0,2.95,1,2.95,1071,4.27,103.72,103.42,20.3,1887.07,112.64
1783,19.06.2025 13:30 - 19.06.2025 13:45,0,-10,-1,2.95,1065,4.27,103.72,103.42,20.3,1887.07,112.64
1784,19.06.2025 13:45 - 19.06.2025 14:00,0,2.95,1,2.95,1056,4.27,103.72,103.42,20.3,1887.07,112.64
1785,19.06.2025 14:00 - 19.06.2025 14:15,0,-5.36,-1,4.13,1046,4.03,98.87,96.81,19.03,1854.45,112.76
1786,19.06.2025 14:15 - 19.06.2025 14:30,0,-3.79,1,4.13,1032,4.03,98.87,96.81,19.03,1854.45,112.76
1787,19.06.2025 14:30 - 19.06.2025 14:45,0,-48.87,-1,4.13,1021,4.03,98.87,96.81,19.03,1854.45,112.76
1788,19.06.2025 14:45 - 19.06.2025 15:00,0,-258.92,1,4.13,1013,4.03,98.87,96.81,19.03,1854.45,112.76
1789,19.06.2025 15:00 - 19.06.2025 15:15,0,-15.89,-1,0.71,1004,3.96,98.87,95.27,19.01,1666.89,112.75
1790,19.06.2025 15:15 - 19.06.2025 15:30,0,-15.41,1,0.71,987,3.96,98.87,95.27,19.01,1666.89,112.75
1791,19.06.2025 15:30 - 19.06.2025 15:45,0,-13.26,-1,0.71,969,3.96,98.87,95.27,19.01,1666.89,112.75
1792,19.06.2025 15:45 - 19.06.2025 16:00,0,-25.79,1,0.71,947,3.96,98.87,95.27,19.01,1666.89,112.75
1793,19.06.2025 16:00 - 19.06.2025 16:15,0,-13.41,-1,-3.12,894,3.95,93.53,94.65,19.2,1569.76,113.56
1794,19.06.2025 16:15 - 19.06.2025 16:30,0,-20,1,-3.12,888,3.95,93.53,94.65,19.2,1569.76,113.56
1795,19.06.2025 16:30 - 19.06.2025 16:45,0,-3.12,-1,-3.12,881,3.95,93.53,94.65,19.2,1569.76,113.56
1796,19.06.2025 16:45 - 19.06.2025 17:00,0,-3.12,1,-3.12,882,3.95,93.53,94.65,19.2,1569.76,113.56
1797,19.06.2025 17:00 - 19.06.2025 17:15,0,-41.52,-1,0.47,915,5.34,110.38,130.44,28.31,1982.8,114.56
1798,19.06.2025 17:15 - 19.06.2025 17:30,0,-107.87,1,0.47,900,5.34,110.38,130.44,28.31,1982.8,114.56
1799,19.06.2025 17:30 - 19.06.2025 17:45,0,-47.44,-1,0.47,885,5.34,110.38,130.44,28.31,1982.8,114.56
1800,19.06.2025 17:45 - 19.06.2025 18:00,0,-1,1,0.47,871,5.34,110.38,130.44,28.31,1982.8,114.56
1801,19.06.2025 18:00 - 19.06.2025 18:15,0,80.33,-1,80.33,859,4.76,107.73,115.82,22.84,1456.65,113.88
1802,19.06.2025 18:15 - 19.06.2025 18:30,0,80.33,1,80.33,841,4.76,107.73,115.82,22.84,1456.65,113.88
1803,19.06.2025 18:30 - 19.06.2025 18:45,0,80.33,-1,80.33,823,4.76,107.73,115.82,22.84,1456.65,113.88
1804,19.06.2025 18:45 - 19.06.2025 19:00,0,80.33,1,80.33,801,4.76,107.73,115.82,22.84,1456.65,113.88
1805,19.06.2025 19:00 - 19.06.2025 19:15,0,-49.39,-1,118.48,778,4.36,101.48,105.32,21.17,729.16,113.44
1806,19.06.2025 19:15 - 19.06.2025 19:30,0,-42.5,1,118.48,759,4.36,101.48,105.32,21.17,729.16,113.44
