Slot Id,Time slot,Imbalance price,DA price,Wind,Biomass,Fossil Gas,Fossil Hard Coal,Fossil Oil,Solar,Waste
109,02.06.2025 03:00 - 02.06.2025 03:15,62.92,55.29,682,130.71,110.74,106.14,20.92,5.59,112.26
110,02.06.2025 03:15 - 02.06.2025 03:30,0.45,55.29,658,130.71,110.74,106.14,20.92,5.59,112.26
111,02.06.2025 03:30 - 02.06.2025 03:45,2.98,55.29,612,130.71,110.74,106.14,20.92,5.59,112.26
112,02.06.2025 03:45 - 02.06.2025 04:00,2.6,55.29,578,130.71,110.74,106.14,20.92,5.59,112.26
113,02.06.2025 04:00 - 02.06.2025 04:15,5.68,58.82,521,126.86,112.51,112.3,22.08,5.67,112.6
114,02.06.2025 04:15 - 02.06.2025 04:30,7.08,58.82,478,126.86,112.51,112.3,22.08,5.67,112.6
115,02.06.2025 04:30 - 02.06.2025 04:45,58.82,58.82,430,126.86,112.51,112.3,22.08,5.67,112.6
116,02.06.2025 04:45 - 02.06.2025 05:00,58.82,58.82,414,126.86,112.51,112.3,22.08,5.67,112.6
117,02.06.2025 05:00 - 02.06.2025 05:15,78.3,78.3,419,143.38,101.38,104.51,20.6,93,112.47
118,02.06.2025 05:15 - 02.06.2025 05:30,-3.74,78.3,413,143.38,101.38,104.51,20.6,93,112.47
119,02.06.2025 05:30 - 02.06.2025 05:45,-2,78.3,397,143.38,101.38,104.51,20.6,93,112.47
120,02.06.2025 05:45 - 02.06.2025 06:00,120.01,78.3,404,143.38,101.38,104.51,20.6,93,112.47
121,02.06.2025 06:00 - 02.06.2025 06:15,-4.29,91.94,461,147.33,115.82,114.6,22.56,350.44,110.69
122,02.06.2025 06:15 - 02.06.2025 06:30,-0.97,91.94,489,147.33,115.82,114.6,22.56,350.44,110.69
123,02.06.2025 06:30 - 02.06.2025 06:45,49.24,91.94,482,147.33,115.82,114.6,22.56,350.44,110.69
124,02.06.2025 06:45 - 02.06.2025 07:00,7.46,91.94,498,147.33,115.82,114.6,22.56,350.44,110.69
125,02.06.2025 07:00 - 02.06.2025 07:15,6.93,91.96,489,152.32,150,129.17,30.15,804.39,110.76
126,02.06.2025 07:15 - 02.06.2025 07:30,7.85,91.96,487,152.32,150,129.17,30.15,804.39,110.76
127,02.06.2025 07:30 - 02.06.2025 07:45,6.6,91.96,466,152.32,150,129.17,30.15,804.39,110.76
128,02.06.2025 07:45 - 02.06.2025 08:00,54.35,91.96,434,152.32,150,129.17,30.15,804.39,110.76
129,02.06.2025 08:00 - 02.06.2025 08:15,35,82.27,431,141.69,138.09,135.93,26.71,1358.03,111.82
130,02.06.2025 08:15 - 02.06.2025 08:30,85,82.27,434,141.69,138.09,135.93,26.71,1358.03,111.82
131,02.06.2025 08:30 - 02.06.2025 08:45,82.27,82.27,440,141.69,138.09,135.93,26.71,1358.03,111.82
132,02.06.2025 08:45 - 02.06.2025 09:00,4.79,82.27,450,141.69,138.09,135.93,26.71,1358.03,111.82
133,02.06.2025 09:00 - 02.06.2025 09:15,13,74.84,470,150.42,136.77,143.54,28.18,1781.39,116
134,02.06.2025 09:15 - 02.06.2025 09:30,12,74.84,501,150.42,136.77,143.54,28.18,1781.39,116
135,02.06.2025 09:30 - 02.06.2025 09:45,9,74.84,537,150.42,136.77,143.54,28.18,1781.39,116
136,02.06.2025 09:45 - 02.06.2025 10:00,-1,74.84,571,150.42,136.77,143.54,28.18,1781.39,116
137,02.06.2025 10:00 - 02.06.2025 10:15,30.19,55.72,604,103.79,160.39,171.37,30.01,2029.49,116.91
138,02.06.2025 10:15 - 02.06.2025 10:30,25,55.72,639,103.79,160.39,171.37,30.01,2029.49,116.91
139,02.06.2025 10:30 - 02.06.2025 10:45,8,55.72,678,103.79,160.39,171.37,30.01,2029.49,116.91
140,02.06.2025 10:45 - 02.06.2025 11:00,-3.67,55.72,709,103.79,160.39,171.37,30.01,2029.49,116.91
141,02.06.2025 11:00 - 02.06.2025 11:15,12,32.52,726,104.68,121.69,143.75,26.92,2174.06,115.36
142,02.06.2025 11:15 - 02.06.2025 11:30,32.52,32.52,739,104.68,121.69,143.75,26.92,2174.06,115.36
143,02.06.2025 11:30 - 02.06.2025 11:45,465.8,32.52,751,104.68,121.69,143.75,26.92,2174.06,115.36
144,02.06.2025 11:45 - 02.06.2025 12:00,32.52,32.52,762,104.68,121.69,143.75,26.92,2174.06,115.36
145,02.06.2025 12:00 - 02.06.2025 12:15,56,14.57,765,100.08,114.24,146.72,25.64,2174.69,115.8
146,02.06.2025 12:15 - 02.06.2025 12:30,14.57,14.57,758,100.08,114.24,146.72,25.64,2174.69,115.8
147,02.06.2025 12:30 - 02.06.2025 12:45,114.93,14.57,745,100.08,114.24,146.72,25.64,2174.69,115.8
148,02.06.2025 12:45 - 02.06.2025 13:00,330.16,14.57,734,100.08,114.24,146.72,25.64,2174.69,115.8
149,02.06.2025 13:00 - 02.06.2025 13:15,7.35,7.35,724,107.41,109.61,171,24.49,2408.08,113.03
150,02.06.2025 13:15 - 02.06.2025 13:30,7.35,7.35,715,107.41,109.61,171,24.49,2408.08,113.03
